mes,lote,cod_distrito,distrito,año,waste_type,amount,category
JULIO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,7.42,recyclable
JULIO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,7.0,recyclable
JULIO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,39.38,recyclable
JULIO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,4.66,recyclable
JULIO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,5.02,recyclable
JULIO,3,10,LATINA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
JULIO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,3.6,recyclable
AGOSTO,2,3,RETIRO,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,5.76,recyclable
AGOSTO,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,1.22,recyclable
AGOSTO,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,3,10,LATINA,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
AGOSTO,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,13.14,recyclable
SEPTIEMBRE,2,3,RETIRO,2022,orgánica_hojas_y_ramas,3.4,recyclable
SEPTIEMBRE,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,45.32,recyclable
SEPTIEMBRE,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,420.0,recyclable
SEPTIEMBRE,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,340.0,recyclable
SEPTIEMBRE,3,10,LATINA,2022,orgánica_hojas_y_ramas,400.0,recyclable
SEPTIEMBRE,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,6,12,USERA,2022,orgánica_hojas_y_ramas,0.0,recyclable
SEPTIEMBRE,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,9.98,recyclable
OCTUBRE,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,12.32,recyclable
OCTUBRE,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,2,2,ARGANZUELA,2022,orgánica_hojas_y_ramas,12.52,recyclable
OCTUBRE,2,3,RETIRO,2022,orgánica_hojas_y_ramas,5.34,recyclable
OCTUBRE,2,4,SALAMANCA,2022,orgánica_hojas_y_ramas,2.76,recyclable
OCTUBRE,2,5,CHAMARTÍN,2022,orgánica_hojas_y_ramas,7.4,recyclable
OCTUBRE,3,8,FUENCARRAL,2022,orgánica_hojas_y_ramas,8.429,recyclable
OCTUBRE,3,9,MONCLOA,2022,orgánica_hojas_y_ramas,23.72,recyclable
OCTUBRE,3,10,LATINA,2022,orgánica_hojas_y_ramas,10.72,recyclable
OCTUBRE,4,15,CIUDAD LINEAL,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,4,16,HORTALEZA,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,4,20,SAN BLAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,4,21,BARAJAS,2022,orgánica_hojas_y_ramas,0.0,recyclable
OCTUBRE,5,13,PUENTE DE VALLECAS ,2022,orgánica_hojas_y_ramas,7.648,recyclable
OCTUBRE,5,18,VILLA DE VALLECAS ,2022,orgánica_hojas_y_ramas,6.692,recyclable
OCTUBRE,5,14,MORATALAZ,2022,orgánica_hojas_y_ramas,2.868,recyclable
OCTUBRE,5,19,VICÁLVARO,2022,orgánica_hojas_y_ramas,1.912,recyclable
OCTUBRE,6,11,CARABANCHEL,2022,orgánica_hojas_y_ramas,960.0,recyclable
OCTUBRE,6,12,USERA,2022,orgánica_hojas_y_ramas,600.0,recyclable
OCTUBRE,6,17,VILLAVERDE,2022,orgánica_hojas_y_ramas,840.0,recyclable
NOVIEMBRE,1,1,CENTRO ,2022,orgánica_hojas_y_ramas,19.58,recyclable
NOVIEMBRE,1,6,TETUÁN,2022,orgánica_hojas_y_ramas,42.64,recyclable
NOVIEMBRE,1,7,CHAMBERÍ,2022,orgánica_hojas_y_ramas,37.82,recyclable
