MES;LOTE;COD_DISTRITO;DISTRITO;MUEBLES 010    ;MUEBLES RECOG. PROGRAMADA ;MUEBLES RECOG. EN CALLE             ;Kg Recogida de muebles;RESTO            ;ORGÁNICA   (HOJAS Y RAMAS)                 ;ENVASES         ;PAPEL Y CARTÓN;VARIOS/RCDs CÓD DESTINO: VERLD;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mantenimiento;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Baldeo Mixto;Nº Servicios Hidrolimpiador (Manchas);Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas
NOVIEMBRE;4;21;BARAJAS;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;5;13;PUENTE DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;5;18;VILLA DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;5;14;MORATALAZ;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;5;19;VICÁLVARO;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;6;11;CARABANCHEL;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;6;12;USERA;;;;;;;;;;;;;;;;;;;;
NOVIEMBRE;6;17;VILLAVERDE;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;1;1;CENTRO ;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;1;6;TETUÁN;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;1;7;CHAMBERÍ;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;2;2;ARGANZUELA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;2;3;RETIRO;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;2;4;SALAMANCA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;2;5;CHAMARTÍN;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;3;8;FUENCARRAL;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;3;9;MONCLOA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;3;10;LATINA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;4;15;CIUDAD LINEAL;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;4;16;HORTALEZA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;4;20;SAN BLAS;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;4;21;BARAJAS;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;5;13;PUENTE DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;5;18;VILLA DE VALLECAS ;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;5;14;MORATALAZ;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;5;19;VICÁLVARO;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;6;11;CARABANCHEL;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;6;12;USERA;;;;;;;;;;;;;;;;;;;;
DICIEMBRE;6;17;VILLAVERDE;;;;;;;;;;;;;;;;;;;;
