mes,lote,cod_distrito,distrito,muebles_010,muebles_recog._programada,muebles_recog._en_calle,total_kg_recogida_de_muebles,residuos_varios_viapublica_resto,orgánica_hojas_y_ramas,envases,papel_y_cartón,varios_residuos_de_construcción_y_demolición,kg_recogida_residuos_viarios,nº_servicios_barrido_manual,nº_servicios_barrido_mantenimiento,nº_servicios_barrido_mecánico,nº_servicios_barrido_mixto,nº_servicios_baldeo_mecánico,nº_servicios_baldeo_mixto,nº_servicios_hidrolimpiador_manchas,nº_servicios_eliminación_grafitis,m2_eliminación_grafitis,ud_reposición_bolsas_caninas,año,mes_año
MAYO,5,13,PUENTE DE VALLECAS ,13.292,1.756,10.032,25.08,16.16,0.0,380.0,4.662,307.6,328.802,1.403,266.0,65.0,79.0,0.0,650.0,24.0,42.0,148.0,591.1,2022,MAYO_2022
MAYO,5,18,VILLA DE VALLECAS ,20.32,2.684,15.336,38.34,12.04,0.0,140.0,1.998,347.62,361.798,480.0,81.0,19.0,32.0,0.0,190.0,8.0,45.0,112.0,272.1,2022,MAYO_2022
MAYO,5,14,MORATALAZ,16.843,2.225,12.712,31.78,36.14,0.0,260.0,5.328,761.72,803.448,714.0,77.0,89.0,58.0,0.0,301.0,23.0,10.0,26.0,297.0,2022,MAYO_2022
MAYO,5,19,VICÁLVARO,4.304,568.0,3.248,8.12,0.0,0.0,120.0,1.332,6.48,7.932,600.0,139.0,49.0,46.0,0.0,264.0,8.0,34.0,74.0,210.6,2022,MAYO_2022
MAYO,6,11,CARABANCHEL,9.72,9.104,222.36,241.184,279.86,0.0,72.0,32.347,97.58,409.859,1.373,369.0,17.0,83.0,0.0,550.0,60.0,47.0,231.0,483.3,2022,MAYO_2022
MAYO,6,12,USERA,6.075,5.69,138.975,150.74,137.464,0.0,45.0,21.789,27.94,187.238,903.0,243.0,28.0,51.0,0.0,362.0,87.0,45.0,101.0,291.9,2022,MAYO_2022
MAYO,6,17,VILLAVERDE,8.505,7.966,194.565,211.036,206.196,0.0,63.0,28.304,20.79,255.353,1.038,229.0,26.0,61.0,0.0,451.0,72.0,11.0,38.0,310.4,2022,MAYO_2022
JUNIO,1,1,CENTRO ,27.1,7.98,2.52,37.6,113.48,0.0,2.9,13.6,568.992,698.972,932.0,1.508,102.0,52.0,0.0,753.0,38.0,439.0,795.0,875.0,2022,JUNIO_2022
JUNIO,1,6,TETUÁN,46.72,37.38,9.34,93.44,84.88,1.6,160.0,6.82,213.86,307.32,584.0,321.0,94.0,111.0,21.0,424.0,16.0,9.0,82.0,461.0,2022,JUNIO_2022
JUNIO,1,7,CHAMBERÍ,27.308,3.45,1.922,32.68,78.64,0.0,440.0,3.18,367.66,449.92,482.0,262.0,58.0,136.0,0.0,372.0,32.0,16.0,33.0,395.5,2022,JUNIO_2022
JUNIO,2,2,ARGANZUELA,4.18,9.6,25.24,39.02,309.36,7.3,0.0,3.24,0.0,319.9,708.0,245.0,23.0,81.0,0.0,271.0,40.0,29.0,53.0,359.0,2022,JUNIO_2022
JUNIO,2,3,RETIRO,7.536,3.768,1.256,12.56,278.6,0.0,0.0,4.26,0.0,282.86,463.0,338.0,43.0,51.0,0.0,277.0,43.0,23.0,19.0,352.0,2022,JUNIO_2022
JUNIO,2,4,SALAMANCA,20.313,23.797,7.61,51.72,18.74,8.68,1.04,1.68,421.864,452.004,768.0,510.0,0.0,75.0,0.0,325.0,50.0,19.0,29.0,389.1,2022,JUNIO_2022
JUNIO,2,5,CHAMARTÍN,26.62,34.34,1.7,62.66,105.72,0.0,0.0,9.78,300.1,415.6,701.0,449.0,0.0,71.0,0.0,454.0,77.0,64.0,198.0,420.2,2022,JUNIO_2022
JUNIO,3,8,FUENCARRAL,32.4,34.76,56.16,123.32,155.92,4.14,260.0,30.88,185.46,376.66,1.449,142.0,85.0,62.0,0.0,559.0,60.0,0.0,0.0,352.3,2022,JUNIO_2022
JUNIO,3,9,MONCLOA,41.74,13.14,12.38,67.26,90.78,12.58,240.0,12.68,73.76,190.04,1.133,170.0,82.0,49.0,0.0,554.0,60.0,48.0,97.0,250.0,2022,JUNIO_2022
JUNIO,3,10,LATINA,62.82,35.8,60.4,159.02,119.8,0.0,1.52,16.88,127.06,265.26,1.185,146.0,30.0,67.0,0.0,430.0,60.0,66.0,283.0,358.2,2022,JUNIO_2022
JUNIO,4,15,CIUDAD LINEAL,34.4,32.5,53.67,120.57,164.04,0.0,40.0,26.74,103.63,294.45,1.094,502.0,22.0,88.0,0.0,566.0,40.0,62.0,134.0,525.4,2022,JUNIO_2022
